applicant_id,age,gender,marital_status,education_level,family_size,dependents,employment_type,monthly_income,district,urban_rural,land_ownership_acres,house_ownership,vehicle_ownership,livestock_count,bank_account,mobile_banking_user,mobile_payment_score,existing_loans,existing_debt_amount,electricity_payment_history,village_savings_member,guarantor_available,gn_recommendation,previous_mfi_loans,previous_default,loan_amount_requested,loan_purpose,loan_term_months,debt_to_income_ratio,loan_to_income_ratio,employment_stability_score,monthly_payment,payment_to_income_ratio,default
APP000001,59,Male,Married,Grade 9-10,4,2,Self-Employed,85555,Puttalam,Rural,0.75,Rent,None,0,1,0,639,0,0,9,0,1,0,3,0,150000,Emergency,6,0.0,1.7532581380398573,0.25,26328.78,0.3077409853310736,1
APP000002,49,Female,Married,A/L Passed,4,4,Casual,15675,Ratnapura,Rural,3.0,Own,None,0,0,1,667,1,95375,12,0,1,1,0,0,200000,Business,48,6.084529505582137,12.759170653907496,0.3333333333333333,5875.0,0.3748006379585327,1
APP000003,35,Male,Married,Grade 9-10,3,4,Casual,35861,Kegalle,Rural,0.0,Own,Bicycle,0,1,1,532,0,0,1,0,1,0,1,1,25000,Agriculture,36,0.0,0.6971361646356766,0.027777777777777776,903.81,0.025203145478374836,1
APP000004,63,Female,Married,O/L Passed,5,0,Permanent,145296,Kalutara,Rural,1.5,Own,Three-wheeler,0,1,1,643,0,0,0,1,0,0,3,0,50000,Vehicle,36,0.0,0.34412509635502697,0.0,1807.62,0.012440948133465477,0
APP000005,28,Male,Widowed,A/L Passed,3,4,Self-Employed,75438,Mannar,Rural,2.0,Own,None,0,1,1,515,1,125625,21,1,0,0,0,0,75000,Housing,24,1.6652747951960551,0.9941939075797344,0.5833333333333334,3744.31,0.04963426920119834,1
APP000006,41,Male,Married,A/L Passed,2,2,Self-Employed,29457,Kalutara,Rural,0.75,Rent,Motorcycle,0,1,1,623,0,0,32,1,1,0,0,0,200000,Agriculture,6,0.0,6.78955766031843,0.8888888888888888,35105.04,1.1917384662389245,1
APP000007,59,Male,Married,Degree,5,3,Self-Employed,79629,Batticaloa,Rural,0.0,Rent,None,0,1,0,514,1,176302,15,0,1,0,3,0,100000,Vehicle,48,2.214042622662598,1.2558238832586117,0.4166666666666667,2937.5,0.03688982657072172,1
APP000008,39,Male,Married,Grade 9-10,4,2,Pensioner,48922,Trincomalee,Rural,0.0,Own,Bicycle,0,1,1,541,0,0,28,1,0,0,2,0,100000,Wedding,12,0.0,2.0440701524876332,0.7777777777777778,9168.0,0.18740035158006624,0
APP000009,43,Female,Single,A/L Passed,6,1,Daily Wage,21820,Kurunegala,Urban,0.0,Rent,Motorcycle,0,1,1,668,0,0,9,0,0,0,1,0,25000,Education,48,0.0,1.1457378551787352,0.25,734.37,0.033655820348304305,1
APP000010,31,Male,Single,O/L Passed,6,4,Permanent,62750,Galle,Rural,1.0,Family,Motorcycle,0,1,1,663,1,136083,6,1,1,0,1,0,100000,Emergency,12,2.1686533864541833,1.593625498007968,0.16666666666666666,9168.0,0.14610358565737053,1
